ID, Question, Choice_A, Choice_B, Choice_C, Choice_D, Choice_E, Correct_Answer
334,President McKinley publicly justified U.S. annexation of the Philippines on the grounds that,(A) the United States had a responsibility to uplift the Filipinos.,(B) a plebiscite indicated Filipino preference for U.S. rule.,(C) a failure to do so would open the way for a Marxist regime.,(D) the Philippines were spoils of the Spanish-American War.,(E) America needed raw materials from the Philippines.,A
335,"The Hepburn Act, pushed through Congress by President Theodore Roosevelt, was significant in that it",(A) strengthened the Interstate Commerce Commission.,(B) created the U.S. Forest Service.,(C) empowered the Department of Agriculture to inspect meat.,(D) strengthened the Sherman Antitrust Act.,(E) made child labor illegal.,A
336,An important effect of the increase of open shops and 'company unions' in the 1920s was,(A) a weakening of the agricultural sector of the economy.,(B) an increase in the purchasing power of workers.,(C) a strengthening of the Democratic Party.,(D) a weakening of the labor movement.,(E) improved working conditions.,D
337,To make America 'the Great Society' was a pronouncement concerning,(A) Richard Nixon’s ideas on federalism.,(B) John F. Kennedy’s initiatives on civil rights.,(C) Gerald Ford’s fight against inflation.,(D) Lyndon B. Johnson’s plan to fight poverty.,(E) Jimmy Carter’s goals concerning education.,D
338,The presidency of Lyndon Johnson was dominated by issues involving Vietnam after he,(A) coined the phrase domino theory and sent advisers to South Vietnam.,(B) pledged to support French forces in Vietnam.,(C) signed the Geneva Accords.,(D) 'Vietnamized' the war.,(E) proposed the Tonkin Gulf Resolution.,E
339,The economic condition of 'stagflation' of the early 1970s can best be described as,(A) deflation and low productivity.,(B) high productivity and high prices.,(C) high inflation and high unemployment.,(D) high prices and low productivity.,(E) low prices and high productivity.,C
340,The Iran Hostage Crisis of 1979–1981,(A) reflected resentment of the U.S. support of the shah of Iran.,(B) aided Jimmy Carter’s bid for re-election in 1980.,(C) increased American prestige.,(D) heightened Cold War tensions.,(E) caused a global oil crisis.,A
341,A provision of the charter issued by the British government for the establishment of the colony of Virginia was that,(A) full rights of English citizenship would be extended to English settlers.,(B) Virginia would enjoy complete autonomy under the policy of salutary neglect.,"(C) Virginia would choose the location of its seat of government, not England.",(D) Virginia would be under the strict control of the royal governor.,"(E) Virginia would establish its own form of government, independent of the British crown.",A
342,"In response to colonial actions to protest British policies after the French and Indian War, the British government did all of the following EXCEPT",(A) repeal the Stamp Act.,(B) reaffirm its right to legislate for the colonies.,(C) sign a nonimportation agreement.,(D) order the quartering of troops in the colonies.,(E) pass the Intolerable Acts.,C
343,Who most strongly opposed colonization of free blacks in Liberia in the 19th century?,(A) Henry Clay,(B) Daniel Webster,(C) James Monroe,(D) Marcus Garvey,(E) David Walker,E
344,"In the years between the Civil War and 1900, the South",(A) developed an extensive railroad network.,(B) remained primarily agricultural with a few pockets of industry.,(C) became economically independent from the rest of the United States.,(D) encouraged higher tariffs to prevent foreign cotton from coming into the country.,(E) experienced the same economic progress as did the North.,B
345,"In the early 20th century, the Progressive movement advocated reform in all of the following areas EXCEPT",(A) the power of trusts.,(B) conditions for factory workers.,(C) political corruption.,(D) segregation of the races in public facilities.,(E) problems of democratic participation.,D
346,"To protect citizens from bank failures, Franklin D. Roosevelt and Congress established the",(A) National Industrial Recovery Act (NIRA).,(B) Securities and Exchange Commission (SEC).,(C) Federal Deposit Insurance Corporation (FDIC).,(D) Social Security Administration.,(E) Federal Reserve System.,C
347,Which of the following statements is true of the Gulf of Tonkin Resolution of 1964?,(A) It passed both the Senate and the House without any dissenting votes.,(B) It contributed to President Johnson’s slim margin of victory in the 1964 election.,(C) It was a declaration of war that Congress passed after much debate.,"(D) In retrospect, it is clear that the resolution was justified by clear evidence of North Vietnamese aggression.",(E) It gave President Johnson a 'blank check' to retaliate against the North Vietnamese.,E
348,"The Weathermen, who were in the news in the 1960s and early 1970s, were",(A) radical black nationalists who believed in power to the black people.,(B) radical terrorists who opposed the Vietnam War.,(C) environmental activists who opposed the pollution caused by automobiles.,(D) a rock-and-roll group who were precursors to punk rock and heavy metal groups.,(E) a commune that called for love and peace and living in the outdoors.,B
349,Key components of Henry Clay’s American System included,(A) a strict interpretation of the Constitution and rapid western expansion.,(B) a high protective tariff and internal improvements.,(C) the development of Southern industry and Northern agriculture.,(D) the elimination of export taxes and of the international slave trade.,(E) exclusive government ownership of canals and the national bank.,B
350,Which of the following is NOT true of John Quincy Adams?,(A) He was the only president to serve in the House of Representatives after he left the presidency.,(B) He was an ardent opponent of the Gag Rule.,(C) He supported scientific research.,(D) He was the only son of a president to attain the presidency himself.,(E) He argued for the freedom of the slaves on the ship Amistad.,D
351,"In his debates against Senator Stephen Douglas in 1858, Abraham Lincoln held the position that slavery",(A) should be abolished in the whole United States.,(B) should be abolished immediately in the South.,(C) should be abolished in California.,(D) should not spread to the western territories.,(E) was not an important question.,D
